Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,AQ STV - Losing Voter Bloc Anomaly,AQ STV - Removed Loser Ballots,AQ STV - Winning Voter Bloc Anomaly,AQ STV - Removed Winner Ballots,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Chamberlin-Courant - Losing Voter Bloc Anomaly,Chamberlin-Courant - Removed Loser Ballots,Chamberlin-Courant - Winning Voter Bloc Anomaly,Chamberlin-Courant - Removed Winner Ballots,Greedy Chamberlin-Courant - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant - Removed Loser Ballots,Greedy Chamberlin-Courant - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant - Removed Winner Ballots,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots
argyll_bute_2017_ward7.csv,"[3, 2, 9]","{(1,): 19, (1, 10): 1, (1, 10, 5): 1, (1, 10, 8): 1, (1, 4): 4, (1, 4, 10): 1, (1, 4, 7): 1, (1, 4, 8): 3, (1, 5): 1, (1, 5, 4): 1, (1, 5, 7): 1, (1, 5, 8): 3, (1, 7): 2, (1, 7, 10): 1, (1, 7, 4): 1, (1, 7, 5): 3, (1, 7, 8): 2, (1, 8): 3, (1, 8, 10): 2, (1, 8, 4): 2, (1, 8, 7): 3, (10,): 35, (10, 1, 5): 1, (10, 1, 8): 2, (10, 4, 1): 1, (10, 4, 5): 1, (10, 5): 1, (10, 5, 1): 2, (10, 5, 4): 2, (10, 5, 8): 1, (10, 7): 2, (10, 7, 1): 2, (10, 7, 5): 2, (10, 8): 6, (10, 8, 1): 2, (10, 8, 1, 7): 1, (10, 8, 5): 2, (10, 8, 7): 2, (4,): 112, (4, 1): 2, (4, 1, 10): 1, (4, 1, 5): 6, (4, 1, 7): 11, (4, 1, 7, 8, 10): 1, (4, 1, 8): 3, (4, 1, 8, 7): 1, (4, 10): 5, (4, 10, 5): 1, (4, 10, 7): 2, (4, 10, 8): 2, (4, 5): 2, (4, 5, 1): 1, (4, 5, 7): 3, (4, 5, 7, 1): 1, (4, 5, 8): 4, (4, 7): 19, (4, 7, 1): 7, (4, 7, 10): 3, (4, 7, 8): 8, (4, 7, 8, 5): 1, (4, 8): 7, (4, 8, 1): 8, (4, 8, 10): 1, (4, 8, 5): 1, (4, 8, 7): 3, (5,): 17, (5, 1): 1, (5, 1, 4): 1, (5, 1, 7): 2, (5, 1, 8, 7): 1, (5, 10, 1): 2, (5, 10, 7): 1, (5, 10, 8): 1, (5, 4): 3, (5, 7): 2, (5, 7, 10): 3, (5, 7, 4): 1, (5, 7, 8): 1, (5, 8): 1, (5, 8, 1): 2, (5, 8, 4): 1, (5, 8, 7): 1, (7,): 14, (7, 1): 1, (7, 1, 10): 1, (7, 1, 4): 2, (7, 1, 5): 1, (7, 1, 5, 4): 1, (7, 1, 8): 7, (7, 10, 4): 2, (7, 10, 8): 1, (7, 4): 6, (7, 4, 1): 2, (7, 4, 8): 4, (7, 5): 1, (7, 5, 4): 1, (7, 5, 8): 1, (7, 8): 1, (7, 8, 1): 1, (7, 8, 10): 1, (7, 8, 4): 1, (8,): 26, (8, 1): 1, (8, 1, 10): 1, (8, 1, 4): 1, (8, 1, 5): 2, (8, 1, 7): 2, (8, 10): 2, (8, 10, 1): 3, (8, 10, 5): 2, (8, 10, 7): 1, (8, 4): 3, (8, 4, 1): 2, (8, 4, 10): 1, (8, 5): 2, (8, 5, 1): 1, (8, 5, 7): 2, (8, 7): 3, (8, 7, 1): 9, (8, 7, 1, 4): 1, (8, 7, 4): 1, (8, 7, 5): 3}","[4, 3, 2]","{(3,): 22.0}",,,,,,,,,,,,,,,,,,,,
dumgal_2017_ward9.csv,,,"[5, 7, 1, 9]","{(7,): 73.0}","[5, 7, 1, 6]","{(10,): 1, (10, 2, 8): 0, (10, 3): 0, (10, 8, 2): 0, (2,): 3, (2, 10): 0, (2, 10, 3): 0, (2, 3): 0, (2, 3, 4): 2, (2, 4): 0, (2, 8): 0, (3,): 4, (3, 10, 2): 0, (3, 2): 0, (3, 2, 10): 0, (3, 2, 4): 0, (3, 4): 0, (4,): 3, (4, 10, 8): 0, (4, 2): 0, (4, 2, 3): 0, (4, 3): 0, (4, 3, 2): 0, (4, 8): 0, (4, 8, 10): 0, (4, 8, 2): 0, (8,): 2, (8, 10): 0, (8, 2, 3, 4): 0, (8, 4): 0, (8, 4, 3): 0}","[5, 7, 1, 6]","{(5,): 505.0}",,,,,,,,,,,,,,,,
dundee_2017_ward2.csv,,,,,,,,,,,,,,,,,,,,,,,,
dundee_2017_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,
east_renfrewshire_2022_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2015_by_election_leith_walk.csv,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward1.csv,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,"[7, 5, 1, 8]","{(10,): 7, (10, 3): 0, (10, 4): 1, (10, 4, 3): 0, (10, 4, 6): 0, (10, 4, 6, 9): 0, (10, 4, 9, 6): 0, (10, 6, 9): 0, (10, 6, 9, 4): 0, (10, 9): 0, (10, 9, 4): 0, (10, 9, 6): 1, (10, 9, 6, 4): 0, (3,): 1, (3, 4): 0, (3, 4, 6): 0, (3, 6, 9): 0, (3, 9, 6): 0, (4,): 95, (4, 10): 18, (4, 10, 6): 2, (4, 10, 6, 9): 1, (4, 10, 9): 2, (4, 10, 9, 6): 1, (4, 3): 0, (4, 6): 3, (4, 6, 10): 1, (4, 6, 10, 9): 0, (4, 6, 3): 0, (4, 6, 9): 13, (4, 6, 9, 10): 2, (4, 9): 6, (4, 9, 10): 2, (4, 9, 10, 6): 0, (4, 9, 6): 5, (4, 9, 6, 10): 1, (6,): 0, (6, 10, 4): 0, (6, 3): 0, (6, 4): 0, (6, 4, 9): 0, (6, 4, 9, 10): 0, (6, 9): 0, (6, 9, 3): 0, (6, 9, 4): 0, (9,): 5, (9, 10): 1, (9, 10, 3): 0, (9, 10, 4): 0, (9, 10, 6): 0, (9, 4): 2, (9, 4, 10): 1, (9, 4, 6): 1, (9, 6): 1, (9, 6, 10): 0, (9, 6, 3): 0, (9, 6, 4): 0, (9, 6, 4, 10): 0}","[5, 1, 7, 8]","{(1,): 61.0}"
edinburgh_2022_ward16.csv,,,,,,,,,,,,,,,,,,,,,,,"[1, 5, 3, 7]","{(5,): 114.0}"
edinburgh_2022_ward5.csv,"[9, 8, 6, 10]","{(2, 4, 7): 0, (4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (2, 7): 0, (3, 2): 0, (4, 5, 3): 0, (7, 3, 4): 0, (4, 5): 0, (2,): 3, (4, 3, 5): 0, (5,): 0, (7, 2, 3): 0, (7,): 29, (4,): 0, (2, 3): 0, (5, 3): 0, (7, 3): 0, (3, 5, 7): 0, (4, 2, 7): 0, (3,): 1, (7, 2): 1, (7, 5): 0, (3, 4, 5): 0, (2, 3, 4, 7): 0, (3, 7): 0}","[9, 6, 8, 10]","{(8,): 405.0}","[9, 8, 6, 7]","{(4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (1,): 23, (3, 2): 0, (4, 1, 3, 2): 0, (4, 5, 3): 0, (4, 5): 0, (1, 5): 0, (2,): 6, (4, 3, 5): 0, (5,): 1, (1, 2): 0, (1, 4): 0, (4,): 1, (2, 3): 0, (5, 3): 0, (1, 3, 5): 0, (4, 3, 1): 0, (2, 3, 1): 0, (1, 2, 3): 0, (3, 4, 1): 0, (3,): 3, (3, 1): 0, (3, 4, 5): 0, (2, 1): 0, (2, 4, 1): 0, (1, 3): 1}","[9, 8, 6, 7]","{(9,): 87.0}","[9, 8, 6, 7]","{(4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (1,): 35, (3, 2): 0, (4, 1, 3, 2): 0, (4, 5, 3): 0, (4, 5): 0, (1, 5): 0, (2,): 10, (4, 3, 5): 0, (5,): 2, (1, 2): 0, (1, 4): 0, (4,): 2, (2, 3): 0, (5, 3): 0, (1, 3, 5): 0, (4, 3, 1): 0, (2, 3, 1): 0, (1, 2, 3): 0, (3, 4, 1): 0, (3,): 4, (3, 1): 0, (3, 4, 5): 0, (2, 1): 0, (2, 4, 1): 0, (1, 3): 1}","[8, 9, 6, 1]","{(6, 9): 50.0, (9, 6): 38.0, (9,): 87.0, (6,): 62.0}",,,,,,,,,"[9, 8, 6, 7]","{(4, 3): 2, (3, 5, 4): 1, (3, 4): 3, (1,): 118, (3, 2): 1, (4, 1, 3, 2): 1, (4, 5, 3): 2, (4, 5): 1, (1, 5): 1, (2,): 34, (4, 3, 5): 1, (5,): 9, (1, 2): 3, (1, 4): 1, (4,): 9, (2, 3): 2, (5, 3): 1, (1, 3, 5): 2, (4, 3, 1): 1, (2, 3, 1): 1, (1, 2, 3): 2, (3, 4, 1): 1, (3,): 16, (3, 1): 1, (3, 4, 5): 2, (2, 1): 1, (2, 4, 1): 1, (1, 3): 5}","[9, 8, 7, 6]","{(6, 9): 50.0, (9, 6): 38.0, (9,): 87.0, (6,): 62.0}"
eilean_siar_2012_ward7.csv,,,"[6, 5, 8, 1]","{(5,): 31.0}",,,"[6, 5, 8, 3]","{(8,): 12.0}",,,"[6, 5, 8, 1]","{(5,): 31.0}",,,,,,,,,,,"[6, 5, 8, 4]","{(5,): 31.0, (5, 6): 7.0, (6,): 30.0, (6, 5): 12.0}"
eilean_siar_2022_ward9.csv,,,,,,,,,,,,,,,,,,,,,,,,
falkirk_2017_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,
fife_2012_ward14.csv,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward15.csv,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward18.csv,,,,,,,,,,,"[3, 10, 7, 8]","{(3,): 39.0, (3, 7): 20.0, (7,): 248.0, (7, 3): 46.0}",,,,,,,,,,,,
fife_2017_ward22.csv,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward9.csv,,,,,,,,,,,,,,,,,,,,,,,,
fife_2022_ward1.csv,,,,,,,,,,,,,,,,,,,,,"[2, 8, 10]","{(3, 1, 5): 0, (5, 1, 4, 7): 0, (4, 3): 0, (5, 3, 7): 0, (9, 5, 4): 0, (9, 5, 1): 0, (3, 9): 0, (1, 5, 3): 0, (3, 4): 0, (1,): 16, (3, 7, 4, 1, 5): 0, (4, 7, 3): 0, (7, 3, 4): 0, (5, 4): 0, (9, 1): 0, (9, 7, 5): 0, (1, 5): 4, (7, 1, 4, 5): 0, (5, 1, 7): 0, (5,): 8, (3, 5, 9): 0, (4, 3, 5, 7): 0, (4, 7): 0, (9, 1, 5, 7): 0, (9, 1, 5): 0, (3, 9, 5): 0, (5, 7, 4): 0, (7,): 4, (3, 4, 7): 0, (1, 4): 0, (5, 9): 0, (4,): 1, (7, 9): 0, (1, 7): 0, (3, 7, 1): 0, (5, 7, 1): 0, (1, 5, 4): 0, (9, 1, 3): 0, (5, 3): 0, (9,): 5, (7, 3): 0, (1, 3, 5): 0, (1, 7, 5): 0, (3, 5): 0, (3, 7, 4, 5): 0, (7, 4): 0, (9, 5, 1, 4): 0, (7, 1, 4): 0, (3, 5, 7): 0, (5, 1): 3, (5, 9, 4): 0, (3, 1, 7): 0, (3,): 3, (9, 3, 7): 0, (9, 7, 3): 0, (5, 1, 9): 0, (1, 4, 5): 0, (9, 3): 0, (1, 4, 7): 0, (5, 7): 0, (3, 7, 4): 0, (7, 4, 5): 0, (1, 9): 0, (7, 1, 9): 0, (9, 5): 0, (5, 3, 1): 0, (1, 3): 0}",,
fife_2022_ward4.csv,,,"[3, 2, 1, 8]","{(3,): 257.0}",,,,,,,,,,,,,,,,,,,,
glasgow_2007_calton.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_craigton.csv,,,"[10, 4, 5, 6]","{(4,): 849.0}",,,"[10, 4, 5, 6]","{(4,): 849.0}",,,"[4, 10, 5, 1]","{(5,): 305.0}",,,,,,,,,"[4, 6, 10, 5]","{(9,): 16, (2,): 8, (7,): 7, (8,): 6, (9, 3): 5, (3, 9): 5, (3,): 4, (2, 7): 2, (9, 2): 2, (7, 2): 2, (9, 3, 2): 1, (9, 7): 1, (9, 3, 7): 1, (2, 9): 0, (3, 9, 7): 0, (3, 9, 2): 0, (2, 7, 9): 0, (8, 7): 0, (9, 3, 2, 7): 0, (9, 2, 7): 0, (9, 7, 3): 0, (3, 7): 0, (2, 7, 8): 0, (9, 7, 2, 3): 0, (7, 8, 2): 0, (2, 9, 7): 0, (3, 8): 0, (7, 8): 0, (3, 9, 7, 2): 0, (9, 3, 7, 2): 0, (3, 9, 2, 7): 0, (2, 3, 9): 0, (2, 3, 7): 0, (9, 2, 3): 0, (9, 7, 2): 0, (3, 7, 8): 0, (3, 7, 9): 0, (7, 3): 0, (2, 3, 9, 7): 0, (3, 7, 2, 8): 0, (2, 9, 3, 7): 0, (7, 3, 9): 0, (7, 2, 9): 0, (2, 7, 3): 0, (3, 2, 7): 0, (7, 2, 8): 0, (2, 3): 0, (2, 8): 0, (9, 8): 0, (8, 3): 0, (9, 2, 3, 7): 0, (7, 2, 9, 3): 0, (9, 3, 8, 7): 0, (9, 3, 2, 8): 0, (9, 2, 7, 3): 0, (2, 9, 7, 3): 0, (9, 2, 8, 3): 0, (3, 7, 9, 2): 0, (2, 7, 8, 9): 0, (9, 8, 3, 7): 0, (8, 3, 7): 0, (8, 2, 7): 0, (8, 2, 9): 0, (3, 8, 9): 0, (3, 9, 8): 0, (8, 3, 2): 0, (9, 3, 8): 0, (2, 9, 8): 0, (7, 9, 2): 0, (3, 2): 0, (8, 9): 0, (7, 9): 0}","[10, 5, 4, 6]","{(4,): 849.0}"
glasgow_2007_drumchapel.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_garscadden.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_hillhead.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_north_east.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_springburn.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward17.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward19.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward20.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward8.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward13.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward14.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward17.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,"[2, 4, 10, 9]","{(4,): 42.0, (4, 9): 9.0, (9,): 145.0, (9, 4): 3.0}"
glasgow_2017_ward5.csv,"[6, 4, 1, 8]","{(2,): 1, (2, 3, 7): 0, (2, 5): 0, (2, 5, 3): 0, (2, 5, 7): 0, (3,): 3, (3, 5): 0, (3, 5, 2): 0, (3, 7): 1, (3, 7, 2): 0, (3, 7, 5): 0, (5,): 1, (5, 2): 0, (5, 2, 7): 0, (5, 3): 0, (5, 3, 2): 0, (5, 7, 3): 0, (5, 9, 3): 0, (7,): 51, (7, 2): 0, (7, 2, 3): 0, (7, 2, 5): 0, (7, 3): 9, (7, 3, 2): 1, (7, 3, 5): 0, (7, 3, 5, 2): 0, (7, 3, 9): 0, (7, 5): 0, (7, 5, 3): 0, (7, 9): 0, (7, 9, 3): 0, (9,): 2}",,,"[6, 4, 1, 8]","{(2,): 1, (2, 3, 7): 0, (2, 5): 0, (2, 5, 3): 0, (2, 5, 7): 0, (3,): 3, (3, 5): 0, (3, 5, 2): 0, (3, 7): 1, (3, 7, 2): 0, (3, 7, 5): 0, (5,): 1, (5, 2): 0, (5, 2, 7): 0, (5, 3): 0, (5, 3, 2): 0, (5, 7, 3): 0, (5, 9, 3): 0, (7,): 51, (7, 2): 0, (7, 2, 3): 0, (7, 2, 5): 0, (7, 3): 9, (7, 3, 2): 1, (7, 3, 5): 0, (7, 3, 5, 2): 0, (7, 3, 9): 0, (7, 5): 0, (7, 5, 3): 0, (7, 9): 0, (7, 9, 3): 0, (9,): 2}",,,,,"[6, 4, 1, 10]","{(6,): 193.0}",,,,,,,,,,,,
glasgow_2017_ward8.csv,"[6, 8, 1, 7]","{(10,): 7, (10, 2, 4): 0, (10, 3): 1, (10, 3, 2): 0, (10, 4): 2, (2,): 16, (2, 3): 0, (2, 3, 10): 0, (2, 3, 4): 1, (2, 4): 7, (2, 4, 10): 1, (2, 4, 3): 4, (3,): 2, (3, 10): 0, (3, 10, 2): 0, (3, 2): 0, (3, 2, 10): 0, (3, 4): 1, (3, 4, 10): 1, (3, 4, 2): 1, (4,): 76, (4, 10): 9, (4, 10, 2): 3, (4, 10, 3): 2, (4, 2): 19, (4, 2, 10): 3, (4, 2, 10, 3): 1, (4, 2, 3): 7, (4, 2, 3, 10): 0, (4, 3): 3, (4, 3, 10): 1, (4, 3, 2): 4, (5,): 46, (5, 10): 0, (5, 2): 0}",,,,,,,,,,,,,"[1, 5, 7, 8]","{(4,): 127.0, (4, 9): 3.0, (9,): 201.0, (9, 4): 2.0}",,,,,,,,
glasgow_2022_ward10.csv,,,,,,,,,,,,,,,,,,,,,"[7, 3, 2, 8]","{(6, 9): 0, (6, 1, 10, 5): 0, (6, 10, 1): 0, (9, 6, 5, 10): 0, (5, 6, 1): 0, (6, 10, 5): 0, (9, 5, 1): 0, (6, 10, 1, 9): 0, (1,): 0, (6, 5, 9, 1): 0, (10, 5, 6): 0, (6, 5, 10, 9, 1): 0, (6, 10, 9): 0, (10, 9, 1): 0, (10, 1, 9, 6): 0, (5,): 1, (10, 6): 0, (10,): 0, (9, 1, 5): 0, (5, 10): 0, (9, 6): 0, (6, 10): 0, (5, 6): 0, (10, 5, 1): 0, (1, 9, 5): 0, (6,): 10, (1, 6): 0, (6, 9, 1, 10): 0, (6, 1, 9, 5): 0, (5, 9, 10): 0, (9, 1, 6): 0, (10, 5): 0, (10, 9, 5, 1): 0, (9, 6, 1): 0, (6, 5, 10): 0, (1, 5, 10, 6): 0, (10, 1): 0, (6, 9, 5, 10): 0, (5, 10, 1): 0, (1, 9): 0, (6, 1): 0, (6, 5, 9): 0, (6, 5): 2}","[7, 2, 3, 8]","{(3,): 96.0}"
glasgow_2022_ward14.csv,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2022_ward16.csv,,,,,,,,,,,,,,,,,,,,,,,,
