Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
north_lanarkshire_2017_ward6.csv,"[2, 3, 5]","[2, 3, 5]","[2, 3, 4]","[2, 3, 4]","[2, 3, 5]"
north_lanarkshire_2022_ward1.csv,"[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[3, 1, 4]"
north_lanarkshire_2022_ward11.csv,"[1, 2, 5, 7]","[1, 2, 5, 7]","[1, 2, 5, 6]","[1, 2, 5, 6]","[2, 5, 1, 7]"
north_lanarkshire_2022_ward13.csv,"[3, 5, 4, 7]","[3, 5, 4, 7]","[1, 3, 4, 5]","[1, 3, 4, 5]","[5, 3, 4, 7]"
north_lanarkshire_2022_ward15.csv,"[3, 5, 6, 7]","[3, 5, 7, 6]","[2, 3, 5, 6]","[2, 3, 5, 6]","[5, 3, 6, 7]"
north_lanarkshire_2022_ward20.csv,"[3, 4, 5, 6]","[3, 4, 5, 6]","[2, 3, 4, 6]","[2, 3, 4, 6]","[3, 4, 5, 6]"
north_lanarkshire_2022_ward5.csv,"[1, 4, 7]","[1, 4, 3]","[1, 4, 5]","[1, 4, 5]","[1, 4, 6]"
orkney_2012_ward3.csv,"[6, 2, 3]","[6, 2, 1]","[2, 3, 6]","[2, 3, 6]","[6, 2, 1]"
orkney_2012_ward5.csv,"[5, 1, 2]","[5, 1, 2]","[1, 2, 5]","[1, 2, 5]","[5, 1, 7]"
orkney_2017_ward2.csv,"[5, 6, 2, 1]","[5, 6, 2, 1]","[1, 2, 5, 6]","[1, 2, 5, 6]","[5, 6, 2, 1]"
orkney_2017_ward4.csv,"[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 5, 6]","[3, 1, 5, 6]"
perth_kinross_2012_ward11.csv,"[3, 4, 7, 5]","[3, 4, 7, 5]","[2, 3, 4, 7]","[2, 3, 4, 7]","[3, 4, 7, 5]"
perth_kinross_2012_ward2.csv,"[3, 4, 5, 7]","[3, 4, 5, 7]","[3, 4, 5, 7]","[3, 4, 5, 7]","[4, 3, 5, 7]"
perth_kinross_2012_ward4.csv,"[4, 1, 7]","[4, 1, 7]","[1, 4, 5]","[1, 4, 5]","[4, 1, 7]"
perth_kinross_2017_ward2.csv,"[3, 6, 5, 4]","[3, 6, 5, 4]","[3, 4, 5, 6]","[3, 4, 5, 6]","[3, 4, 6, 5]"
perth_kinross_2017_ward5.csv,"[3, 5, 2]","[3, 2, 5]","[3, 5, 7]","[3, 5, 7]","[3, 5, 2]"
perth_kinross_2018_by_election_ward_4.csv,[2],[2],[2],[2],[2]
perth_kinross_2022_ward10.csv,"[1, 4, 2, 5]","[1, 4, 2, 5]","[1, 2, 4, 5]","[1, 2, 4, 5]","[1, 4, 2, 5]"
perth_kinross_2022_ward11.csv,"[4, 6, 3]","[4, 6, 3]","[3, 4, 7]","[3, 4, 7]","[4, 6, 3]"
perth_kinross_2022_ward2.csv,"[6, 5, 1, 7]","[6, 5, 7, 1]","[3, 4, 5, 6]","[3, 4, 5, 6]","[6, 4, 5, 7]"
renfrewshire_2012_ward1.csv,"[1, 6, 4]","[1, 6, 4]","[1, 4, 6]","[1, 4, 6]","[6, 1, 4]"
renfrewshire_2012_ward11.csv,"[2, 3, 6, 5]","[2, 3, 6, 5]","[2, 3, 4, 6]","[2, 3, 4, 6]","[2, 6, 3, 5]"
renfrewshire_2012_ward2.csv,"[3, 6, 2]","[3, 6, 2]","[2, 3, 6]","[2, 3, 6]","[6, 3, 2]"
renfrewshire_2012_ward3.csv,"[4, 6, 7, 5]","[4, 6, 7, 5]","[2, 3, 4, 6]","[2, 3, 4, 6]","[6, 4, 7, 5]"
renfrewshire_2012_ward6.csv,"[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 5, 3, 6]"
renfrewshire_2012_ward9.csv,"[2, 4, 6, 3]","[2, 4, 6, 3]","[1, 2, 4, 6]","[1, 2, 4, 6]","[2, 4, 6, 3]"
renfrewshire_2017_ward10.csv,"[1, 5, 6, 2]","[1, 5, 6, 4]","[1, 2, 5, 6]","[1, 2, 5, 6]","[5, 1, 2, 6]"
renfrewshire_2017_ward2.csv,"[5, 4, 7]","[5, 4, 7]","[3, 4, 5]","[3, 4, 5]","[5, 4, 7]"
renfrewshire_2017_ward5.csv,"[5, 3, 6]","[5, 3, 6]","[2, 3, 5]","[2, 3, 5]","[5, 3, 6]"
renfrewshire_2017_ward7.csv,"[7, 5, 2, 1]","[7, 5, 2, 1]","[2, 3, 5, 7]","[2, 3, 5, 7]","[7, 2, 5, 1]"
renfrewshire_2017_ward8.csv,"[2, 3, 4, 5]","[2, 3, 4, 5]","[1, 2, 3, 4]","[1, 2, 3, 4]","[3, 2, 4, 5]"
renfrewshire_2022_ward5.csv,"[3, 5, 6]","[3, 5, 6]","[2, 3, 5]","[2, 3, 5]","[5, 3, 6]"
renfrewshire_2022_ward7.csv,"[1, 2, 5, 3]","[1, 2, 5, 3]","[1, 3, 5, 6]","[1, 3, 5, 6]","[5, 1, 2, 3]"
sc_borders_2012_ward10.csv,"[6, 4, 2]","[6, 4, 2]","[2, 4, 6]","[2, 4, 6]","[6, 7, 2]"
sc_borders_2012_ward11.csv,"[4, 5, 7]","[4, 5, 7]","[4, 5, 7]","[4, 5, 7]","[4, 5, 7]"
sc_borders_2012_ward3.csv,"[1, 2, 7, 5]","[1, 2, 5, 7]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 2, 7, 5]"
sc_borders_2012_ward7.csv,"[2, 3, 1]","[2, 3, 1]","[1, 2, 3]","[1, 2, 3]","[2, 3, 1]"
sc_borders_2012_ward9.csv,"[2, 4, 6]","[2, 4, 6]","[2, 4, 6]","[2, 4, 6]","[7, 2, 6]"
sc_borders_2017_ward5.csv,"[6, 5, 1]","[6, 5, 4]","[1, 5, 6]","[1, 5, 6]","[6, 5, 4]"
sc_borders_2017_ward7.csv,"[4, 5, 6]","[4, 5, 6]","[4, 5, 6]","[4, 5, 6]","[4, 5, 6]"
sc_borders_2017_ward9.csv,"[2, 5, 1]","[2, 5, 1]","[1, 2, 6]","[1, 2, 6]","[5, 2, 6]"
sc_borders_2021_by_election_ward_5.csv,[3],[3],[3],[3],[3]
sc_borders_2022_ward11.csv,"[5, 1, 6]","[5, 1, 6]","[1, 5, 6]","[1, 5, 6]","[5, 3, 6]"
sc_borders_2022_ward2.csv,"[3, 5, 7]","[3, 5, 7]","[3, 5, 7]","[3, 5, 7]","[3, 7, 6]"
sc_borders_2022_ward5.csv,"[4, 2, 5]","[4, 2, 5]","[2, 4, 5]","[2, 4, 5]","[4, 2, 5]"
sc_borders_2022_ward6.csv,"[2, 5, 6]","[2, 5, 6]","[2, 3, 5]","[2, 3, 5]","[2, 5, 3]"
sc_borders_2022_ward8.csv,"[5, 7, 4]","[5, 7, 4]","[2, 5, 7]","[2, 5, 7]","[5, 7, 4]"
sc_borders_2022_ward9.csv,"[3, 2, 6]","[3, 2, 6]","[1, 2, 3]","[1, 2, 3]","[3, 2, 6]"
shetland_2012_ward2.csv,"[5, 2, 6]","[5, 2, 6]","[2, 3, 5]","[2, 3, 5]","[5, 2, 6]"
shetland_2012_ward3.csv,"[5, 6, 4]","[5, 6, 4]","[4, 5, 6]","[4, 5, 6]","[6, 5, 4]"
shetland_2012_ward6.csv,"[2, 5, 6]","[2, 5, 6]","[2, 5, 6]","[2, 5, 6]","[2, 5, 6]"
shetland_2012_ward7.csv,"[7, 5, 1, 6]","[7, 5, 1, 6]","[1, 5, 6, 7]","[1, 5, 6, 7]","[7, 5, 6, 1]"
shetland_2022_ward6.csv,"[4, 2, 7, 6]","[4, 2, 7, 6]","[2, 4, 6, 7]","[2, 4, 6, 7]","[4, 2, 7, 6]"
south_ayrshire_2012_ward4.csv,"[3, 4, 5, 7]","[3, 4, 5, 7]","[2, 3, 4, 5]","[2, 3, 4, 5]","[3, 5, 4, 7]"
south_ayrshire_2012_ward5.csv,"[3, 7, 2, 1]","[3, 7, 2, 1]","[1, 2, 3, 5]","[1, 2, 3, 5]","[3, 7, 2, 1]"
south_ayrshire_2017_ward5.csv,"[4, 5, 2, 7]","[4, 5, 7, 2]","[2, 4, 5, 6]","[2, 4, 5, 6]","[4, 5, 2, 7]"
south_ayrshire_2022_ward8.csv,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[1, 3, 6]"
south_lanarkshire_2012_ward12.csv,"[4, 5, 1]","[4, 5, 1]","[1, 4, 5]","[1, 4, 5]","[4, 5, 1]"
south_lanarkshire_2012_ward17.csv,"[6, 1, 5]","[6, 1, 5]","[1, 6, 7]","[1, 6, 7]","[6, 1, 5]"
south_lanarkshire_2012_ward18.csv,"[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 4, 5]","[1, 3, 4, 5]","[1, 3, 5, 6]"
south_lanarkshire_2012_ward19.csv,"[1, 4, 5, 3]","[1, 4, 5, 3]","[1, 4, 5, 6]","[1, 4, 5, 6]","[4, 1, 5, 3]"
south_lanarkshire_2017_ward12.csv,"[2, 5, 7]","[2, 5, 3]","[2, 5, 7]","[2, 5, 7]","[2, 5, 4]"
south_lanarkshire_2017_ward18.csv,"[1, 2, 4, 3]","[1, 2, 4, 3]","[1, 2, 4, 5]","[1, 2, 4, 5]","[1, 4, 2, 3]"
south_lanarkshire_2017_ward19.csv,"[3, 5, 6, 7]","[3, 5, 6, 7]","[3, 4, 5, 6]","[3, 4, 5, 6]","[6, 3, 5, 4]"
south_lanarkshire_2017_ward2.csv,"[3, 5, 6]","[3, 5, 6]","[3, 5, 6]","[3, 5, 6]","[3, 5, 6]"
south_lanarkshire_2017_ward7.csv,"[1, 3, 6]","[1, 3, 6]","[1, 2, 3]","[1, 2, 3]","[1, 3, 6]"
south_lanarkshire_2017_ward9.csv,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]","[1, 3, 7]","[1, 7, 3]"
south_lanarkshire_2019_by_election_east_kilbride.csv,[1],[1],[1],[1],[1]
south_lanarkshire_2022_ward1.csv,"[2, 4, 6, 3]","[2, 4, 6, 3]","[2, 3, 4, 6]","[2, 3, 4, 6]","[4, 2, 6, 3]"
south_lanarkshire_2022_ward10.csv,"[1, 6, 5]","[1, 6, 5]","[1, 4, 6]","[1, 4, 6]","[1, 6, 5]"
south_lanarkshire_2022_ward11.csv,"[1, 4, 2]","[1, 4, 2]","[1, 2, 4]","[1, 2, 4]","[4, 1, 2]"
south_lanarkshire_2022_ward12.csv,"[5, 2, 3]","[2, 5, 6]","[2, 4, 5]","[2, 4, 5]","[5, 2, 6]"
south_lanarkshire_2022_ward15.csv,"[1, 5, 7]","[1, 5, 7]","[1, 5, 7]","[1, 5, 7]","[1, 5, 7]"
south_lanarkshire_2022_ward18.csv,"[1, 2, 5, 7]","[1, 2, 5, 7]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 2, 5, 7]"
south_lanarkshire_2022_ward5.csv,"[3, 4, 5]","[3, 4, 5]","[3, 4, 5]","[3, 4, 5]","[3, 4, 5]"
south_lanarkshire_2022_ward8.csv,"[3, 4, 6]","[3, 4, 6]","[1, 3, 4]","[1, 3, 4]","[4, 3, 7]"
stirling_2012_ward7.csv,"[1, 3, 7]","[1, 3, 7]","[1, 3, 4]","[1, 3, 4]","[3, 1, 7]"
stirling_2017_ward1.csv,"[2, 3, 6]","[2, 3, 6]","[2, 4, 6]","[2, 4, 6]","[2, 6, 3]"
stirling_2017_ward2.csv,"[1, 2, 3]","[1, 2, 3]","[1, 3, 5]","[1, 3, 5]","[1, 6, 2]"
stirling_2017_ward3.csv,"[2, 5, 3, 7]","[2, 5, 3, 7]","[2, 3, 5, 6]","[2, 3, 5, 6]","[5, 2, 3, 7]"
stirling_2017_ward6.csv,"[5, 4, 1]","[5, 4, 1]","[1, 4, 5]","[1, 4, 5]","[5, 4, 7]"
stirling_2017_ward7.csv,"[5, 2, 1]","[5, 2, 1]","[2, 4, 5]","[2, 4, 5]","[5, 2, 1]"
stirling_2022_ward4.csv,"[2, 3, 5, 7]","[2, 3, 5, 7]","[2, 3, 5, 6]","[2, 3, 5, 6]","[3, 5, 2, 7]"
stirling_2022_ward5.csv,"[1, 6, 2]","[1, 2, 6]","[1, 2, 6]","[1, 2, 6]","[1, 2, 6]"
west_dunbartonshire_2012_ward1.csv,"[5, 6, 1]","[5, 6, 1]","[1, 5, 7]","[1, 5, 7]","[5, 1, 6]"
west_dunbartonshire_2012_ward2.csv,"[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 3, 4, 7]","[1, 3, 4, 7]","[3, 1, 4, 6]"
west_dunbartonshire_2012_ward4.csv,"[6, 7, 3]","[6, 7, 3]","[3, 5, 6]","[3, 5, 6]","[6, 7, 3]"
west_dunbartonshire_2012_ward5.csv,"[2, 4, 6, 1]","[2, 4, 6, 1]","[1, 2, 4, 6]","[1, 2, 4, 6]","[4, 2, 6, 1]"
west_dunbartonshire_2017_ward1.csv,"[1, 6, 2]","[1, 6, 2]","[1, 2, 6]","[1, 2, 6]","[1, 6, 2]"
west_dunbartonshire_2017_ward3.csv,"[2, 3, 4, 7]","[2, 3, 4, 6]","[1, 2, 3, 7]","[1, 2, 3, 7]","[3, 2, 1, 6]"
west_dunbartonshire_2017_ward5.csv,"[3, 6, 4, 1]","[3, 6, 4, 1]","[1, 3, 5, 6]","[1, 3, 5, 6]","[3, 6, 4, 1]"
west_dunbartonshire_2022_ward6.csv,"[2, 3, 6, 4]","[2, 3, 6, 4]","[2, 3, 5, 6]","[2, 3, 5, 6]","[3, 2, 6, 4]"
west_lothian_2012_ward4.csv,"[2, 3, 5, 7]","[2, 3, 5, 7]","[2, 3, 6, 7]","[2, 3, 6, 7]","[2, 3, 5, 7]"
west_lothian_2012_ward5.csv,"[5, 7, 1, 4]","[5, 7, 1, 4]","[1, 3, 4, 5]","[1, 3, 4, 5]","[5, 1, 7, 4]"
west_lothian_2017_ward1.csv,"[4, 1, 7]","[4, 1, 7]","[1, 3, 4]","[1, 3, 4]","[4, 3, 1]"
west_lothian_2017_ward6.csv,"[4, 3, 7]","[4, 3, 7]","[3, 4, 5]","[3, 4, 5]","[4, 3, 7]"
west_lothian_2017_ward7.csv,"[1, 3, 6, 7]","[1, 3, 6, 7]","[1, 3, 5, 6]","[1, 3, 5, 6]","[6, 1, 3, 7]"
west_lothian_2021_by_election_ward_4.csv,[4],[4],[4],[4],[4]
west_lothian_2022_ward7.csv,"[1, 5, 7, 2]","[1, 5, 2, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]","[1, 5, 7, 2]"
west_lothian_2022_ward9.csv,"[1, 4, 6]","[1, 4, 6]","[1, 4, 6]","[1, 4, 6]","[1, 4, 6]"
aberdeenshire_2012_ward11.csv,"[6, 2, 8, 1]","[6, 1, 2, 8]","[1, 2, 6, 7]","[1, 2, 6, 7]","[6, 2, 8, 1]"
aberdeenshire_2012_ward2.csv,"[6, 3, 2]","[6, 2, 3]","[2, 3, 6]","[2, 3, 6]","[6, 2, 3]"
aberdeenshire_2012_ward4.csv,"[3, 8, 1, 5]","[3, 8, 1, 5]","[1, 2, 3, 8]","[1, 2, 3, 8]","[3, 8, 1, 5]"
aberdeenshire_2017_ward19.csv,"[2, 5, 7, 4]","[2, 5, 4, 7]","[2, 4, 6, 7]","[2, 4, 6, 7]","[2, 7, 5, 4]"
aberdeenshire_2022_ward1.csv,"[1, 6, 3]","[1, 6, 3]","[1, 3, 6]","[1, 3, 6]","[6, 1, 3]"
aberdeenshire_2022_ward10.csv,"[2, 7, 8]","[2, 7, 8]","[2, 7, 8]","[2, 7, 8]","[2, 7, 8]"
aberdeenshire_2022_ward18.csv,"[1, 4, 2, 8]","[1, 4, 2, 8]","[1, 2, 4, 7]","[1, 2, 4, 7]","[4, 1, 2, 7]"
aberdeenshire_2022_ward5.csv,"[2, 7, 5, 4]","[2, 7, 4, 5]","[2, 4, 5, 7]","[2, 4, 5, 7]","[7, 2, 5, 4]"
aberdeen_2012_ward10.csv,"[4, 7, 8, 1]","[4, 7, 8, 1]","[1, 6, 7, 8]","[1, 6, 7, 8]","[7, 4, 8, 1]"
aberdeen_2017_ward13.csv,"[5, 7, 6, 2]","[5, 7, 6, 2]","[2, 3, 5, 7]","[2, 3, 5, 7]","[5, 7, 6, 2]"
aberdeen_2017_ward4.csv,"[1, 6, 4]","[1, 6, 4]","[1, 4, 5]","[1, 4, 5]","[1, 4, 7]"
aberdeen_2017_ward5.csv,"[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 8]"
aberdeen_2017_ward7.csv,"[1, 6, 4]","[1, 6, 4]","[1, 4, 6]","[1, 4, 6]","[6, 1, 4]"
aberdeen_2017_ward9.csv,"[1, 2, 4]","[1, 2, 4]","[1, 4, 5]","[1, 4, 5]","[1, 2, 4]"
aberdeen_2022_ward1.csv,"[1, 6, 5, 3]","[1, 6, 5, 3]","[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 6, 5, 3]"
aberdeen_2022_ward13.csv,"[2, 6, 7, 8]","[2, 6, 7, 8]","[2, 3, 6, 8]","[2, 3, 6, 8]","[6, 2, 7, 8]"
aberdeen_2022_ward2.csv,"[2, 4, 7, 1]","[2, 4, 7, 1]","[1, 2, 4, 5]","[1, 2, 4, 5]","[2, 4, 7, 1]"
angus_2012_ward6.csv,"[3, 4, 2, 7]","[3, 4, 2, 7]","[2, 3, 4, 5]","[2, 3, 4, 5]","[3, 4, 2, 7]"
angus_2017_ward3.csv,"[3, 2, 6, 4]","[3, 2, 4, 6]","[2, 3, 4, 6]","[2, 3, 4, 6]","[3, 2, 4, 6]"
angus_2017_ward7.csv,"[6, 5, 1]","[6, 5, 1]","[1, 5, 6]","[1, 5, 6]","[1, 5, 6]"
angus_2022_ward3.csv,"[2, 4, 3, 7]","[2, 4, 3, 7]","[1, 2, 4, 7]","[1, 2, 4, 7]","[2, 4, 7, 3]"
angus_2022_ward4.csv,"[2, 4, 8, 1]","[2, 4, 8, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 4, 8, 3]"
argyll_bute_2017_ward11.csv,"[4, 6, 8]","[4, 6, 8]","[4, 6, 8]","[4, 6, 8]","[4, 6, 1]"
argyll_bute_2017_ward4.csv,"[6, 2, 3, 7]","[6, 2, 3, 7]","[2, 3, 6, 7]","[2, 3, 6, 7]","[6, 3, 2, 7]"
argyll_bute_2022_ward5.csv,"[7, 8, 5, 6]","[7, 5, 6, 8]","[1, 5, 7, 8]","[1, 5, 7, 8]","[7, 5, 6, 8]"
clackmannanshire_2012_ward2.csv,"[2, 7, 5, 6]","[2, 7, 5, 6]","[2, 5, 6, 7]","[2, 5, 6, 7]","[2, 7, 1, 5]"
clackmannanshire_2017_ward1.csv,"[3, 4, 6, 8]","[3, 4, 6, 8]","[3, 4, 6, 8]","[3, 4, 6, 8]","[3, 8, 4, 6]"
clackmannanshire_2017_ward2.csv,"[2, 1, 4, 3]","[2, 3, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 4, 3, 1]"
clackmannanshire_2022_ward2.csv,"[2, 3, 7, 6]","[2, 3, 7, 6]","[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 3, 7, 6]"
dumgal_2012_ward10.csv,"[3, 6, 8, 2]","[3, 6, 8, 2]","[1, 2, 3, 8]","[1, 2, 3, 8]","[3, 6, 2, 8]"
dumgal_2012_ward4.csv,"[8, 5, 3]","[8, 5, 3]","[3, 5, 8]","[4, 5, 8]","[8, 5, 3]"
dumgal_2017_ward1.csv,"[3, 6, 8, 7]","[3, 6, 8, 7]","[3, 6, 7, 8]","[3, 6, 7, 8]","[6, 3, 8, 7]"
dumgal_2022_ward4.csv,"[2, 8, 5]","[2, 8, 5]","[2, 5, 8]","[2, 5, 8]","[2, 8, 5]"
dundee_2012_ward6.csv,"[2, 6, 8]","[2, 6, 8]","[2, 6, 8]","[2, 6, 8]","[6, 2, 8]"
dundee_2017_ward6.csv,"[2, 5, 7]","[2, 5, 7]","[2, 3, 5]","[2, 3, 5]","[5, 2, 7]"
dundee_2022_ward5.csv,"[1, 5, 7]","[5, 1, 7]","[1, 6, 7]","[1, 6, 7]","[7, 1, 5]"
east_ayrshire_2012_ward8.csv,"[6, 8, 5, 3]","[6, 8, 5, 3]","[1, 5, 6, 8]","[1, 5, 6, 8]","[8, 6, 5, 3]"
east_ayrshire_2017_ward1.csv,"[5, 3, 2, 6]","[5, 2, 3, 6]","[2, 3, 5, 6]","[2, 3, 5, 6]","[5, 3, 2, 6]"
east_ayrshire_2017_ward6.csv,"[7, 2, 5]","[7, 2, 5]","[2, 6, 7]","[2, 6, 7]","[7, 2, 5]"
east_ayrshire_2017_ward8.csv,"[3, 8, 7, 4]","[3, 8, 5, 7]","[3, 6, 7, 8]","[3, 6, 7, 8]","[3, 8, 7, 5]"
east_dunbartonshire_2012_ward2.csv,"[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 4]"
east_dunbartonshire_2017_ward6.csv,"[8, 3, 1]","[8, 3, 1]","[1, 3, 8]","[3, 7, 8]","[3, 8, 1]"
east_dunbartonshire_2022_ward4.csv,"[1, 5, 4, 8]","[1, 5, 4, 8]","[1, 4, 5, 6]","[1, 4, 5, 6]","[1, 5, 6, 8]"
east_lothian_2017_ward2.csv,"[1, 4, 5, 3]","[1, 4, 5, 3]","[1, 3, 4, 5]","[1, 3, 4, 5]","[4, 1, 3, 5]"
east_lothian_2017_ward3.csv,"[1, 7, 6, 5]","[1, 7, 6, 2]","[1, 5, 6, 7]","[1, 5, 6, 7]","[7, 1, 2, 6]"
east_lothian_2022_ward2.csv,"[2, 8, 6, 3]","[2, 8, 6, 3]","[2, 3, 6, 8]","[2, 3, 6, 8]","[8, 2, 3, 6]"
east_lothian_2022_ward4.csv,"[1, 7, 5]","[1, 7, 5]","[1, 5, 7]","[1, 5, 7]","[6, 7, 3]"
east_renfrewshire_2012_ward2.csv,"[1, 2, 7, 3]","[1, 2, 3, 7]","[1, 2, 5, 7]","[1, 2, 5, 7]","[2, 1, 7, 3]"
east_renfrewshire_2017_ward1.csv,"[5, 4, 1, 3]","[5, 1, 4, 3]","[1, 3, 4, 5]","[1, 3, 4, 5]","[5, 3, 4, 1]"
east_renfrewshire_2017_ward5.csv,"[8, 3, 1, 5]","[8, 3, 5, 1]","[1, 3, 4, 8]","[1, 4, 5, 8]","[8, 3, 1, 5]"
east_renfrewshire_2022_ward1.csv,"[3, 4, 5, 6]","[3, 4, 5, 6]","[3, 4, 5, 7]","[3, 4, 5, 7]","[5, 3, 4, 6]"
east_renfrewshire_2022_ward2.csv,"[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[1, 6, 7]"
edinburgh_2012_ward14.csv,"[2, 7, 4]","[2, 7, 4]","[2, 3, 7]","[2, 3, 7]","[7, 2, 4]"
edinburgh_2012_ward15.csv,"[2, 7, 6, 8]","[2, 7, 6, 8]","[2, 6, 7, 8]","[2, 6, 7, 8]","[2, 7, 8, 6]"
edinburgh_2012_ward16.csv,"[1, 4, 2, 5]","[1, 4, 2, 7]","[1, 2, 4, 5]","[1, 2, 4, 5]","[1, 2, 4, 7]"
edinburgh_2012_ward17.csv,"[2, 1, 8]","[2, 1, 8]","[1, 2, 6]","[1, 2, 6]","[2, 1, 8]"
edinburgh_2012_ward3.csv,"[6, 4, 1]","[6, 1, 4]","[3, 4, 6]","[3, 4, 6]","[6, 4, 1]"
edinburgh_2017_ward14.csv,"[1, 6, 2, 7]","[1, 6, 2, 4]","[1, 2, 6, 7]","[1, 2, 6, 7]","[6, 1, 2, 7]"
edinburgh_2017_ward4.csv,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 2, 3, 5]","[1, 2, 3, 5]","[2, 1, 3, 5]"
edinburgh_2017_ward5.csv,"[2, 5, 6, 7]","[5, 2, 6, 7]","[2, 3, 5, 6]","[2, 3, 5, 6]","[5, 1, 6, 7]"
edinburgh_2022_ward13.csv,"[1, 6, 2]","[1, 6, 2]","[1, 2, 6]","[1, 2, 6]","[6, 1, 2]"
edinburgh_2022_ward3.csv,"[1, 3, 8]","[1, 3, 8]","[1, 2, 3]","[1, 2, 3]","[1, 3, 8]"
edinburgh_2022_ward4.csv,"[4, 5, 3, 8]","[4, 3, 5, 8]","[1, 3, 4, 5]","[1, 3, 4, 5]","[4, 6, 3, 5]"
edinburgh_2022_ward7.csv,"[7, 2, 1, 4]","[7, 2, 1, 4]","[2, 4, 6, 7]","[2, 4, 6, 7]","[7, 2, 1, 8]"
eilean_siar_2017_ward1.csv,"[6, 4, 5, 8]","[6, 4, 5, 8]","[1, 5, 6, 8]","[1, 5, 6, 8]","[6, 4, 5, 8]"
eilean_siar_2017_ward2.csv,"[7, 4, 3]","[7, 3, 4]","[3, 4, 7]","[3, 4, 7]","[7, 4, 3]"
eilean_siar_2017_ward6.csv,"[8, 3, 5, 2]","[8, 3, 5, 2]","[2, 3, 5, 8]","[2, 3, 5, 8]","[8, 3, 5, 2]"
eilean_siar_2022_ward2.csv,"[6, 7, 2]","[6, 2, 7]","[2, 6, 7]","[2, 6, 7]","[6, 7, 2]"
falkirk_2012_ward2.csv,"[1, 2, 7, 5]","[1, 2, 7, 5]","[1, 2, 4, 7]","[1, 2, 4, 7]","[2, 1, 7, 5]"
falkirk_2012_ward3.csv,"[1, 6, 7, 5]","[1, 6, 7, 5]","[1, 5, 6, 8]","[1, 5, 6, 8]","[6, 1, 7, 5]"
falkirk_2017_ward8.csv,"[5, 6, 7]","[5, 6, 7]","[5, 6, 7]","[5, 6, 7]","[6, 5, 8]"
falkirk_2022_ward2.csv,"[1, 6, 7]","[1, 6, 4]","[1, 3, 6]","[1, 3, 6]","[1, 6, 7]"
fife_2012_ward1.csv,"[2, 1, 7, 3]","[2, 1, 7, 3]","[2, 3, 5, 7]","[2, 3, 5, 7]","[2, 7, 1, 3]"
fife_2012_ward15.csv,"[2, 3, 5, 1]","[2, 3, 5, 1]","[1, 2, 3, 7]","[1, 2, 3, 7]","[3, 2, 5, 1]"
fife_2012_ward22.csv,"[2, 4, 5, 1]","[2, 4, 5, 1]","[2, 3, 4, 8]","[2, 3, 4, 8]","[2, 1, 5, 4]"
fife_2012_ward5.csv,"[1, 2, 7]","[1, 2, 7]","[1, 2, 4]","[1, 2, 4]","[2, 1, 7]"
fife_2017_ward1.csv,"[2, 7, 6]","[2, 6, 7]","[2, 6, 7]","[2, 6, 7]","[2, 7, 6]"
fife_2017_ward13.csv,"[3, 5, 8]","[3, 5, 8]","[3, 4, 5]","[3, 4, 5]","[5, 3, 8]"
fife_2017_ward21.csv,"[2, 6, 7, 3]","[2, 6, 7, 3]","[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 6, 3, 7]"
fife_2022_ward10.csv,"[5, 6, 4]","[5, 6, 8]","[4, 5, 6]","[4, 5, 6]","[6, 5, 7]"
fife_2022_ward12.csv,"[1, 2, 6]","[1, 2, 6]","[1, 2, 8]","[1, 2, 8]","[1, 2, 4]"
fife_2022_ward14.csv,"[1, 7, 5, 8]","[1, 7, 5, 8]","[1, 5, 7, 8]","[1, 5, 7, 8]","[1, 8, 7, 5]"
fife_2022_ward15.csv,"[4, 7, 8]","[4, 7, 8]","[2, 4, 7]","[2, 4, 7]","[7, 4, 8]"
fife_2022_ward17.csv,"[3, 7, 4]","[3, 7, 4]","[3, 4, 7]","[3, 4, 7]","[3, 7, 4]"
fife_2022_ward19.csv,"[1, 4, 2]","[1, 4, 2]","[1, 4, 7]","[1, 4, 7]","[1, 4, 2]"
